FruitType,Label,Contrast,Correlation,Energy
apple,fresh,109.95668683228214,0.9933951257505703,0.3333862801115425
apple,fresh,88.57921163980247,0.9927268638079676,0.3066443858210657
apple,fresh,105.64832163564236,0.9924550985777172,0.1968206647605249
apple,fresh,117.98917915226022,0.9911204900648259,0.24115330565204343
apple,fresh,128.7107331739477,0.9908491159245604,0.3013084786529201
apple,fresh,128.1380148722047,0.9922156272286486,0.3244566333358867
apple,fresh,105.33062377493364,0.9909520886174216,0.3170952610671448
apple,fresh,106.06084679137138,0.9918175751342306,0.25206678397566434
apple,fresh,104.22871598721797,0.9937946644177601,0.3152635197124598
apple,fresh,116.40579169309999,0.9902211451369416,0.34079485130870707
apple,fresh,107.992028232032,0.9912257447319446,0.2503442774557816
apple,fresh,135.1650075345906,0.9921371328540382,0.3562943933073545
apple,fresh,119.15120591269374,0.9912294673345496,0.3006825486558867
apple,fresh,97.65573231721837,0.9935005902286598,0.24245748999070854
apple,fresh,117.5893763858457,0.9892030675298009,0.27406125994509634
apple,fresh,122.81888711556974,0.9923822276622812,0.3452410863396987
apple,fresh,109.5293057054268,0.9910941555249159,0.3086923676119029
apple,fresh,149.358393866021,0.9881169358041506,0.32395940430679404
apple,fresh,153.0026892299619,0.9872129110101314,0.1847931207608494
apple,fresh,108.2807766161724,0.9868743696118828,0.11904625842790235
apple,fresh,116.14236399217222,0.9895276311909066,0.3422994837078468
apple,fresh,134.6548210526316,0.9932312412725527,0.31548053301235063
apple,fresh,126.66690201729106,0.9885224619817351,0.29263796001434217
apple,fresh,91.72432952958738,0.9918126461613027,0.24266187418084578
apple,fresh,100.53145246724283,0.9898368759909856,0.21833469468845182
apple,fresh,110.3856598352584,0.9905003569895898,0.2652766115627581
apple,fresh,101.57794771968857,0.9924443586247872,0.2281835264095568
apple,fresh,177.61731724248415,0.9908339369945947,0.3736507707349552
apple,fresh,130.33045831647104,0.990242085491481,0.38535702517234094
apple,fresh,140.75226167397884,0.9926039122900526,0.38506052688758646
apple,fresh,119.14029962731087,0.9901186131113925,0.347981615577973
apple,fresh,243.38592857142862,0.9804888332436199,0.20401359561038465
apple,fresh,239.26871508379895,0.980042481045254,0.21892722337200554
apple,fresh,241.3305183837859,0.9835399810697869,0.24914249054094054
apple,fresh,233.1965942305249,0.9813722736883931,0.2878821328410408
apple,fresh,112.82355031193505,0.9926019851828142,0.32238292942016866
apple,fresh,114.10685353788801,0.9893919851453775,0.3203779615682572
apple,fresh,94.32323091479512,0.9905889233001242,0.2159213623655531
apple,fresh,110.27608648881241,0.9907920937294961,0.3122691802550134
apple,fresh,137.33572872399688,0.9892084012748151,0.38796522438212105
apple,fresh,182.54337476857978,0.9830813336430444,0.23439286592575262
apple,fresh,165.2035732102768,0.9834000500718433,0.13512181614781557
apple,fresh,103.45954254795868,0.9919862605478059,0.12668933468600194
apple,fresh,108.75701510096414,0.9918955918331344,0.2196223255114125
apple,fresh,152.25069922547334,0.9838473463638234,0.11302821950443873
apple,fresh,123.21715838338501,0.9898281316004783,0.2196617481823072
apple,fresh,112.1408654178475,0.9900074125303171,0.27494053860114415
apple,fresh,108.55593515277832,0.9935957920914902,0.358598181924722
apple,fresh,107.06358324741004,0.9926385710068153,0.3223667981739897
apple,fresh,181.30268696644242,0.982351589326737,0.30549568078465106
apple,fresh,178.85756486000514,0.9815279359901091,0.20690069570949693
apple,fresh,116.48963857010949,0.992864643060301,0.3007679607429196
apple,fresh,130.83803437113204,0.9921525149699768,0.33351285965594624
apple,fresh,122.96479922475925,0.9904166861571573,0.22215520974333924
apple,fresh,163.58991693752256,0.9888277940860773,0.2673934054093272
apple,fresh,225.03095101415997,0.9830189420928189,0.2159988538406255
apple,fresh,235.06858453199914,0.9823780813189597,0.2128143434616117
apple,fresh,237.66353475204997,0.9823038897356708,0.1868546302373506
apple,fresh,152.2085594223002,0.9899375891043839,0.3013120936389392
apple,fresh,122.33886375062849,0.9913154385261737,0.3032948570235215
apple,fresh,143.67502957339443,0.9916892021901469,0.3183922575911767
apple,fresh,236.66990042806628,0.9823099115224221,0.21419711570396846
apple,fresh,225.90584246218054,0.9808635869568564,0.19850956506564402
apple,fresh,247.33984220907297,0.9799081534047029,0.1929230430495242
apple,fresh,119.65086884595928,0.9908990673300124,0.21462726800135068
apple,fresh,95.98425433173863,0.9936517972589539,0.23678872148901964
apple,fresh,89.43756095920355,0.9949457456258507,0.3925363155329854
apple,fresh,133.1592653358855,0.9886855262763278,0.337838036451156
apple,fresh,132.1449021383846,0.9932186466891241,0.3982967677962777
apple,fresh,142.07512587458314,0.9918238715577381,0.340861286107082
apple,fresh,123.19423284401869,0.9935565122951713,0.3952336879001212
apple,fresh,95.68479819612432,0.9920995734830693,0.2095307540144323
apple,fresh,87.68464485705871,0.9923410530634666,0.10295764423213677
apple,fresh,110.25509725223836,0.9907718553042957,0.3467995060438821
apple,fresh,121.03508939365018,0.990486425831239,0.28196512346548713
apple,fresh,94.09883822501752,0.9916811923834317,0.2435183291558541
apple,fresh,100.45090702947846,0.9918510299496153,0.19958236547566705
apple,fresh,120.0453019038037,0.9903789030445012,0.23431866580193905
apple,fresh,102.06699940646413,0.9934511044369617,0.1484010978369238
apple,fresh,143.47162903644386,0.9897601349713527,0.3295983883495665
apple,fresh,122.95434509389631,0.988312790728011,0.3642563412543336
apple,fresh,139.50539086469902,0.98667094806549,0.3060053822913016
apple,fresh,110.56702057613171,0.9909772274587959,0.25349501407907293
apple,fresh,121.66661157834173,0.9886115487501742,0.2007556662092396
apple,fresh,133.54408531222515,0.9919575341244671,0.335892205733532
apple,fresh,99.7096621215536,0.9918541255854376,0.30249784331901663
apple,fresh,82.38753999623562,0.9924408030806338,0.28537421388583806
apple,fresh,116.63888947302013,0.9929742790378759,0.32889330124604055
apple,fresh,143.93484345842836,0.9918243977995731,0.35700480747058444
apple,fresh,119.65919105117088,0.9921269414914723,0.36869147575171696
apple,fresh,117.84584845735027,0.9927146550540801,0.24036985894235705
apple,fresh,154.64543983305293,0.9897595455357855,0.36541539337002005
apple,fresh,190.4165069902774,0.9853978176034425,0.28424910422270966
apple,fresh,108.33646785688576,0.9916784344469769,0.1195037500325063
apple,fresh,109.74928168627875,0.9909550736048482,0.4203516389283783
apple,fresh,104.56321686746989,0.9907380341679769,0.27830131790634866
apple,fresh,122.92070481242897,0.9923246973432999,0.2866572310322531
apple,fresh,99.28798610108905,0.9922075167043861,0.21380472439313528
apple,fresh,104.14449485878731,0.993297440429566,0.2609387982837276
apple,fresh,178.43845502645493,0.981366288545381,0.13470010236779836
apple,fresh,161.13219807732736,0.9891275520868386,0.36527160689636934
apple,fresh,126.95420064763735,0.9888317667222312,0.359616564239819
apple,fresh,114.15138523554131,0.9906645560445374,0.3383008120248079
apple,fresh,101.02247579942468,0.9898277552887043,0.23168716854667246
apple,fresh,124.38089182983134,0.9922850400816497,0.3244276265770256
apple,fresh,139.82497521621718,0.9896006864956144,0.22242474809653698
apple,fresh,123.18673113080848,0.9903859685134081,0.23148797946359978
apple,fresh,102.40185773356507,0.9909607866582231,0.25029480063049003
apple,fresh,120.31673717762968,0.9917854504850424,0.3135718100700268
apple,fresh,129.2380577783806,0.9885522510296347,0.2141281584190196
apple,fresh,79.34753601281255,0.9927271123965559,0.23657833901180877
apple,fresh,141.60255232790675,0.9915477266527103,0.1406835292893123
apple,fresh,162.0954123697315,0.9868567637924329,0.12864187761916443
apple,fresh,132.8810492989598,0.9919627652352759,0.2041164467766065
apple,fresh,110.06441399356378,0.9900295814408152,0.1907682463992104
apple,fresh,114.13522375747579,0.9896217091536162,0.26459890981404793
apple,fresh,84.96543844615825,0.9913080819496332,0.15850120273051688
